"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CX3CR1",7386.57100883569,1.01205129339542,0.199912784983496,2.6309619400454e-08,3.31236682678381e-06
"RPS5",8375.22209788742,-0.723318023064252,0.141361713664024,2.61170298254511e-08,3.31236682678381e-06
"UBALD2",2814.49086271757,0.510647635779132,0.0980331565302825,2.69264560139752e-08,3.35570958074166e-06
"CCR1",3980.1636136881,1.013215483183,0.201548853681257,3.13152594080052e-08,3.86549597321101e-06
"ATP10A",1207.07492759709,2.17502704575025,0.439561592788843,3.34629811123561e-08,4.09163866223818e-06
"H2AFY2",87.2453681725156,1.84316959070668,0.369914707144677,3.38558507868563e-08,4.10098768269575e-06
"IL12RB1",1279.62171256119,1.06655961777625,0.213083070680075,3.43267603035713e-08,4.11952907680173e-06
"CD38",979.50568745556,2.23702272567097,0.453061605861702,3.57850322955969e-08,4.2551358126902e-06
"RBMS1",6002.43228946104,0.558084122832678,0.108891110375662,3.67662479422384e-08,4.33206672344866e-06
"HAPLN3",85.9670420993018,3.01104425848998,0.614517222849397,4.05338291251676e-08,4.7329635972189e-06
"CD274",308.635423690872,2.8559628256236,0.584911078350395,4.39806477843694e-08,5.0895819279751e-06
"MINK1",4637.77939470978,-0.458724968088065,0.0893238512430675,4.60367451962455e-08,5.14381253869429e-06
"RNF213",48784.1941501296,1.51643756602302,0.305247400894821,4.57859639777882e-08,5.14381253869429e-06
"RPL29",14709.0961888158,-0.442292951078808,0.0858612215908575,4.60191165722784e-08,5.14381253869429e-06
"XAF1",14628.3400557079,2.29410818983503,0.466468711253665,4.5984979536427e-08,5.14381253869429e-06
"IFI44L",10640.0659266503,4.61815294248945,0.952947869854491,4.69243814819816e-08,5.19257954781074e-06
"SLC39A13",283.861936005606,0.960344113019279,0.193985967078437,4.76750996211309e-08,5.19257954781074e-06
"SLC40A1",2483.27457080327,-1.25238169201262,0.254918903879703,4.75852223250612e-08,5.19257954781074e-06
"IL1R1",198.378349253355,-1.65124229224287,0.338846153035718,5.04474294721714e-08,5.44874277824011e-06
"ARL14EP",1032.93051053526,-0.627449094377179,0.125495494612395,5.91212708810181e-08,6.3318519050123e-06
"MT2A",2080.75768999007,2.24745048583194,0.464881186374409,5.99914606386937e-08,6.3318519050123e-06
"NUP85",1404.63757863161,-0.610269962300873,0.121979935368268,6.00893283169904e-08,6.3318519050123e-06
"DDX60L",986.483350981797,2.07923196226064,0.431150206968985,6.82094531277621e-08,7.0725017759114e-06
"VAMP5",2866.15667256421,1.67241645761435,0.346308435308675,6.78898881635357e-08,7.0725017759114e-06
"SPR",164.254900457325,-1.00612549338118,0.20678680520184,7.11184315866168e-08,7.3156031094773e-06
"SULF2",2650.05456413817,-1.09625133435293,0.225862063353148,7.16880815029781e-08,7.31613562488267e-06
"CYSLTR1",911.915644636591,0.666254948800408,0.134787683948233,7.38339312247151e-08,7.4762623640901e-06
